F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,class
185.25,185.04,185.21,177.78,146.54,182.92,184.11,177.67,-11.33,-8.07,-6.8,1.87,5.15,1.13,41.72,51.65,-96.07,-76.61,-40.71,-20.52,3.93,28.36,-221.23,15.08,67.76,145048171.2,0
182.87,184.17,184.68,177.85,146.72,180.9,182.79,177.63,-14.4,-7.83,-8.16,1.19,4.46,0.97,40.93,52.42,-84.53,-79.69,-42.35,-22.54,15.47,13.22,-226.32,-14.87,51.99,140461587.7,0
179.96,183.38,184.09,177.98,146.9,179.5,181.69,177.6,-10.17,-7.64,-10.72,0.42,3.95,0.5,40.72,52.58,-85.39,-82.73,-42.78,-25.02,14.61,11.34,-177.28,-23.33,47.44,141597302,1
177.66,182.48,183.23,178.17,147.08,178.13,180.54,177.51,-6.57,-8.69,-10.47,-0.31,3.3,0.18,38.78,49.83,-92.89,-92.89,-46.54,-29.39,7.11,12.4,-129.11,-25.33,46.57,145205075.3,0
178.16,182.52,183.13,178.68,147.28,180.24,181.25,177.78,7.03,-1.08,-1.04,-0.43,3.08,-0.01,54.78,55.36,-40.97,-40.97,-20.53,-12.96,59.03,26.91,-16,42.91,82.13,137417774.6,1
176.91,181.08,182.1,178.95,147.4,177.2,179.41,177.52,-5.71,-17.61,-13.54,-0.95,2.54,-0.45,38.76,45.57,-82.83,-82.83,-60.09,-37.1,17.17,27.77,-170.59,-104.87,10.71,154479790.3,0
175.46,179.17,181.03,179.17,147.54,174.68,177.64,177.21,-7.06,-21.61,-14.7,-1.5,1.95,-0.99,37.43,40.03,-88.91,-88.91,-71.16,-41.96,11.09,29.09,-142.14,-126.53,2.23,156127719.8,0
174.55,177.25,180.15,179.33,147.69,173.83,176.63,177.01,-3.28,-14.76,-11.97,-2.02,1.39,-1.42,41.01,40.9,-78.91,-78.91,-67.77,-37.8,21.09,16.45,-98.05,-104.91,13.76,156670821.5,1
174.17,175.92,179.4,179.51,147.84,173.73,176.07,176.88,-10.92,-8.43,-12,-2.61,0.79,-1.84,43.04,42.08,-73.16,-73.16,-66.98,-37.61,26.84,19.68,-69.7,-89.08,22.92,158711350.8,1
172.03,175.09,178.56,179.57,147.97,173.72,175.64,176.75,2.57,-3.71,-15.04,-3.48,0.19,-2.15,43.3,43.55,-72.43,-72.43,-66.31,-37.24,27.57,25.17,-58.86,-88.21,23.18,159552736.4,1
172.98,174.95,177.64,179.73,148.1,174.46,175.69,176.72,6.29,-0.92,-15.32,-4.37,-0.3,-2.51,46.6,45.61,-63.44,-63.44,-63.44,-32.62,36.56,30.32,-26.37,-61.27,36.85,160832148.2,1
174.34,174.9,176.58,179.71,148.27,175.11,175.83,176.71,4.32,-0.27,-10.44,-4.93,-0.74,-3.19,47.35,46.68,-60.46,-61.42,-61.42,-32.67,39.54,34.56,-5.75,-51.64,39.98,162238892.4,1
176.53,175.54,176.31,179.82,148.45,177.76,177.14,176.96,9.53,7.67,1.1,-4.97,-0.97,-3.69,56.08,49.79,-19,-34.57,-34.57,-18.94,81,52.37,95.02,16.26,72.1,163754000.3,1
178.89,176.53,176.55,179.94,148.66,180.28,178.62,177.28,11.59,0.85,7.88,-4.4,-1.06,-3.81,58.58,51.68,-5.98,-25.51,-25.51,-14.24,94.02,71.52,158.88,68,98,171946392.9,1
181.39,176.71,177.18,180.16,148.9,182.25,180,177.63,10.28,15.07,9.36,-3.73,-1.24,-3.48,59.59,54.18,-5.06,-21.82,-21.82,-12.68,94.94,89.99,136.83,79.76,103.85,174313875.1,1
184.05,178.52,178.06,180.41,149.13,184.59,181.68,178.09,12.82,19.61,12.55,-2.83,-1.5,-2.82,62.84,53.44,-1.11,-9.51,-9.51,-5.53,98.89,95.95,129.78,110.58,119.38,176267171.8,1
186.85,180.6,179.04,180.69,149.4,186.53,183.27,178.57,7.36,18.31,15.03,-1.85,-1.89,-2.12,64.04,53.68,-4,-4.78,-4.78,-2.9,96,96.61,123.03,134.4,132.4,179844435.7,1
188.04,182.29,180.02,180.95,149.66,187.36,184.32,178.98,3.73,15.5,4.58,-1.63,-2.07,-1.47,61.5,51.11,-9.67,-10.4,-10.4,-6.39,90.33,95.07,95.08,116.75,124.4,181234632.5,1
188.31,183.6,180.17,181.13,149.94,187.12,184.74,179.28,0.41,12.91,15.48,-0.52,-2.1,-0.81,57.26,50.52,-19.51,-20.16,-20.16,-12.39,80.49,88.94,72.7,90.88,110.49,179829096.8,0
188.62,185,181.36,181.35,150.23,187.33,185.29,179.61,-1.49,11.83,18.12,0.74,-1.87,-0.74,58.71,51.53,-15.17,-15.55,-15.55,-9.55,84.83,85.21,61,83.43,106.57,176906548.8,1
188.07,186.06,182.56,181.55,150.52,187.05,185.51,179.88,-3.92,10.07,14.39,1.76,-1.6,0.25,56.44,51.22,-22.38,-20.65,-20.65,-12.69,77.62,80.98,46.46,73.13,99.86,178145067.3,0
186.07,186.46,183.16,181.66,150.79,184.84,184.58,179.91,-8.61,-2.64,6.89,2.48,-1.46,1.3,46.97,47.56,-53.48,-45.26,-45.26,-27.81,46.52,69.65,-21.56,-2.44,58.78,177090705.3,0
183.6,185.82,183.38,181.68,151.02,182.12,183.15,179.78,-9.94,-8.62,2.97,3.18,-1.37,2.19,42.27,45.58,-75.68,-60.4,-60.4,-37.11,24.32,49.48,-82.5,-60.11,26.13,173837372,0
181.82,185.06,183.67,181.75,151.26,180.66,182.16,179.7,-10.01,-8.46,1.82,3.84,-1.6,2.83,44,45.33,-77.34,-56.07,-56.07,-34.45,22.66,31.17,-93.43,-63.07,24.39,172334590.9,1
